catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection,Notes,Locality,Collection Date
UCSB_IZC00058177_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058186_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058171_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058176_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058164_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058145_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058144_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00056420_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058433_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058180_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058645_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058141_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058199_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058153_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058174_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058377_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058624_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058480_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00061378_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00056446_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00054976_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00056345_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058198_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055003_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00060190_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058805_R,Lasioglossum pruinosum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058688_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00062593_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00059186_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00059180_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058770_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00065449_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058684_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058784_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00059212_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00062630_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058783_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00059168_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058785_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00062591_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058729_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058721_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058728_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058779_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058796_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00059170_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00065373_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00065455_R,Lasioglossum tegulare-puteulanum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00037433_R,Lasioglossum titusi,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055424_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055423_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055426_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055420_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055479_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055384_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055383_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055405_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055389_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055381_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055428_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055461_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055772_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055391_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00059215_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055404_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058146_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00058649_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055421_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055449_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00055415_R,Lasioglossum trigeminum,Lasioglossum,Halictinae,Halictidae,Female,UCSB,,,
UCSB_IZC00028504_R,Megachile anograe,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00040381_R,Megachile fidelis,Megachile,Megachilinae,Megachilidae,Female,UCSB,only right wing,,
UCSB_IZC00062640_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00058740_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00055314_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00055304_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00062639_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00058706_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00062595_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00058737_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00055265_R,Megachile mendica,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00035449_R,Megachile onobrychidis,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00028529_R,Megachile perihirta,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00035274_R,Megachile rotundata,Megachile,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00010811_R,Megachile texans,Megachile,Megachilinae,Megachilidae,Female,UCSB,R wing torn,,
UCSB_IZC00055313_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055757_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055323_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065456_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055291_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055782_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055760_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055341_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00065361_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00055296_R,Melissodes communis,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00042277_R,Melissodes lustrus,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00038577_R,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00042343_R,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00034459_R,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00030378_R,Melissodes tepida timberlakei,Melissodes,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00009986_R,Osmia aglaia,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
EMEC_939046_R,Osmia atrocyanea,Osmia,Megachilinae,Megachilidae,Female,EMEC,,,
UCSB_IZC00014690_R,Osmia atrocyanea,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00028380_R,Osmia brevis,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00043780_R,Osmia californica,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00034841_R,Osmia clarescens,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00034755_R,Osmia clarescens ,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00035027_R,Osmia clarescens ,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00041383_R,Osmia clarescens ,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00034387_R,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00043402_R,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047052_R,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00028506_R,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00034496_R,Osmia coloradensis,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00009975_R,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00009991_R,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00010010_R,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00028288_R,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00034485_R,Osmia montana,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00028375_R,Osmia montana,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00009970_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00043741_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047359_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047335_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00046991_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00046952_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047222_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047206_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047388_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00047372_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00036467_R,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB,UC Berkeley,,
UCSB_IZC00043418_R,Osmia tristella,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00043203_R,Osmia tristella,Osmia,Megachilinae,Megachilidae,Female,UCSB,,,
UCSB_IZC00055267_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055369_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062603_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055800_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062619_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058752_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065441_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055751_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065393_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062598_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055281_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062626_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062616_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062613_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055271_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055327_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062610_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062615_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065457_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065419_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065413_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065388_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055307_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055293_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058786_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058800_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062627_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058775_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065356_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065398_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065400_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055315_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065365_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055328_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065454_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055355_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055781_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065381_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065429_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055364_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065364_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055775_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055333_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055302_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055799_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055309_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055368_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065351_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055284_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055346_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055306_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055362_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055350_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065437_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065387_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065358_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055746_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058705_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055272_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055273_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065411_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00059210_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00059216_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058724_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058700_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065422_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055318_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055787_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062638_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062635_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062584_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062618_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058755_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055338_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062605_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058782_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055750_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055292_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065442_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062625_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062636_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058774_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058682_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065371_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00059207_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062609_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062622_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065405_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055773_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058699_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058711_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058736_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00059182_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058701_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058768_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055348_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065438_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055335_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062612_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062586_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062634_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055763_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065431_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062604_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062624_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055288_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065460_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00058798_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00065432_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00055779_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00062587_R,Panurginus polytrichus,Panurginus,Panurginae,Andrenidae,Female,UCSB,,,
UCSB_IZC00035942_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00037026_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00041479_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00040925_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00038682_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00036128_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
UCSB_IZC00043012_R,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB,,,
