"","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y"
"Agapostemon",0.40314760183029,0.299284635913512,-0.0310325097798952,-0.115720749865561,-0.327539767849487,-0.490799251834864,0.0112954947231962,0.0893637167685267,0.162000830094281,0.114733297890111,0.246967426424204,0.179545673617471,0.207656695747525,0.0354820951951965,0.00468912613542475,-0.179262389539123,-0.295007477464317,-0.314804448006491
"Apis",0.47806056234974,0.29664941880446,0.010481607806336,-0.160776285191668,-0.357001850859448,-0.440220262223348,-0.0434252243578106,0.0555232261060277,0.16070880756571,0.198038441635068,0.194602867949355,0.140681975913764,0.147817452103496,0.0367329816680911,0.0209118581679293,-0.163098606901548,-0.260602544623737,-0.315084425912418
"Bombus",0.452152686457293,0.38177471778095,-0.10338237778781,-0.209669468760465,-0.367606228234806,-0.434256610175552,0.0221941361445054,0.0862433389359785,0.172549805639908,0.121314460863928,0.217890297216051,0.0990677213157611,0.125543608158058,0.0318252719404699,0.0534274776097998,-0.109169752064777,-0.235473251487173,-0.304425833552118
"Diadasia",0.445594673950827,0.324280864541276,-0.0715559034425562,-0.186697201913519,-0.345402482888032,-0.473463122912005,0.0392375744909943,0.0994095483341109,0.168596049838904,0.121765956785575,0.212962227269654,0.117529496535804,0.144620103757322,0.0448045303547912,0.044717499376113,-0.097085012153023,-0.279450761904626,-0.309864040021609
"Eucera",0.448612486629732,0.272577050445822,-0.0284524550723787,-0.167779721410954,-0.366279638117607,-0.448576785345544,0.0393271378136617,0.0869554575926696,0.1636164674646,0.147394977476536,0.211692359620066,0.14143503755017,0.163880925349745,0.0199788707410291,0.0533305003662838,-0.0947136883778678,-0.287968872865617,-0.355030109860345
"Megachile",0.460895889778244,0.297784556221765,-0.0279991975205827,-0.139567652027045,-0.392940928351211,-0.444750117799469,0.0166828388223232,0.0805516961203133,0.149342914755661,0.161996997050053,0.198537291956859,0.138339662156825,0.161762739883727,0.0109324330768032,0.0402141849096726,-0.114176065180076,-0.292732676686028,-0.304874567167836
"Osmia",0.434086157837404,0.297739744102466,-0.0107575236842324,-0.1934177633432,-0.391940148543841,-0.450237180419827,0.0253283918995563,0.111221244188802,0.177977077962872,0.124762926669632,0.198398360018728,0.150413981239464,0.149705502339566,0.0253718920072573,0.057590653701646,-0.112006431694276,-0.281093632900554,-0.313143251381464
"Xylocopa",0.471007783754028,0.305717227596965,-0.10351135564885,-0.181907347996384,-0.345738245243584,-0.410785338436937,-0.0343685653800932,0.0871597297176252,0.212426111637229,0.149901168962858,0.204379038800175,0.127821835618689,0.15344057164338,0.0516569637846016,0.0632907052664991,-0.172194179124022,-0.268943734022522,-0.309352370929659
