id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
68613,UCSB,IZC,,PreservedSpecimen,bcad6521-b806-4157-b5c5-f119dc2f7480,UCSB-IZC00010425,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus californicus,6788,"Smith, 1854",Bombus,,californicus,,,,,Species,Jamie Pawelek,2017,,,,,,,,,4/19/1974,,,1974,4,19,109,,4/19/1974,,owl clover,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Schofield Park,,0,,34.456941,-119.693746,WGS84,298,,entan (2019-12-20 12:23:05),,georef batch tool 2019-12-20; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832426,6,999c2530-f6e2-498a-80b1-111996e8d672,https://library.big-bee.net/portal/collections/individual/index.php?occid=68613
68614,UCSB,IZC,,PreservedSpecimen,25995537-cd75-44de-b832-d38d99f78574,UCSB-IZC00010431,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus californicus,6788,"Smith, 1854",Bombus,,californicus,,,,,Species,Jamie Pawelek,2017,,,,,,R.A. Fraundorf,,,4/19/1956,,,1956,4,19,110,,4/19/1956,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,Santa Ynez,Davy Brown Canyon,,0,,34.758224,-119.954193,WGS84,1000,,entan (2019-03-05 19:32:29),,georef batch tool 2019-03-05; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832427,6,93e874ea-18c8-46a3-a93c-6fb5f9192ad4,https://library.big-bee.net/portal/collections/individual/index.php?occid=68614
68617,UCSB,IZC,,PreservedSpecimen,3a072c80-fee7-4aa7-b049-c5e269d0997f,UCSB-IZC00010460,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus californicus,6788,"Smith, 1854",Bombus,,californicus,,,,,Species,Jamie Pawelek,2017,,,,,,UCSB Zoology 125,,,5/24/1989,,,1989,5,24,144,,5/24/1989,,flying,,,,,,,,,,,,,,,Adult,Queen,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Goddard,,0,,34.5003,-119.838897,WGS84,631,,zachary_brown (2019-09-20 14:26:08),,georef batch tool 2019-09-20; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832430,6,37570eeb-816c-41b2-bfb0-aa8626b4513a,https://library.big-bee.net/portal/collections/individual/index.php?occid=68617
68622,UCSB,IZC,,PreservedSpecimen,363eb99f-f4f3-4673-b5b7-c3679b165e18,UCSB-IZC00010478,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus vosnesenskii,7022,"Radoszkowski, 1862",Bombus,,vosnesenskii,,,,,Species,Rachel Behm,2017,,,,,,E. Mollenhauer,,,4/23/2015,,,2015,4,23,113,,4/23/2015,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,Isla Vista,Isla Vista,,0,,34.413329,-119.860972,WGS84,2476,,rbehm (2019-05-09 15:02:43),,georef batch tool 2019-05-09; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832435,6,90ffce39-6e4e-4e0c-a997-e7880a84efdc,https://library.big-bee.net/portal/collections/individual/index.php?occid=68622
68623,UCSB,IZC,,PreservedSpecimen,401729cc-a6e6-4043-be05-f659595ace50,UCSB-IZC00010479,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,Poulson,,,5/11/1973,,,1973,5,11,131,,5/11/1973,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,Santa Ynez,Santa Ynez,,0,,34.614431,-120.079868,,6119,,,,Geolocate,,,,,,,,,,,phorsley,12/28/2020 12:48,832436,6,cbf7109c-23cd-41f9-95b0-008b0c574ae9,https://library.big-bee.net/portal/collections/individual/index.php?occid=68623
68630,UCSB,IZC,,PreservedSpecimen,e13b6d69-ff55-4f50-b561-2fb2922a9016,UCSB-IZC00010507,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,,,,6/2/1981,,,1981,6,2,153,,6/2/1981,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,Santa Barbara,"University of California, Santa Barbara",,0,,34.412534,-119.847305,WGS84,722,,rbehm (2018-09-28 15:54:55),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832443,6,2e061188-7cc8-45f5-86e1-d62aed4697c3,https://library.big-bee.net/portal/collections/individual/index.php?occid=68630
68631,UCSB,IZC,,PreservedSpecimen,eeb7b1d4-39ab-47a5-afdb-e373c9838ec2,UCSB-IZC00010508,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,,,,4/24/1983,,,1983,4,24,114,,4/24/1983,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Winchester Canyon,,0,,34.44055,-119.904584,WGS84,1506,,rbehm (2019-12-19 12:18:33),,georef batch tool 2019-12-19; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832444,6,40f0a192-8314-4fc1-939a-65d4849ad940,https://library.big-bee.net/portal/collections/individual/index.php?occid=68631
68646,UCSB,IZC,,PreservedSpecimen,badd8304-6e16-479e-bf94-9eeb0f82f2be,UCSB-IZC00010536,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,,,,1982-05-00,,,1982,5,0,,,1982-5,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Lake Los Carneros,,0,,34.441666,-119.848335,WGS84,464,,rbehm (2018-09-28 15:21:44),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832459,6,94b833ca-73b8-4382-8889-ad71344ec9ac,https://library.big-bee.net/portal/collections/individual/index.php?occid=68646
68647,UCSB,IZC,,PreservedSpecimen,3e4ec5a6-cdb6-4eb9-8437-bcad0ea59693,UCSB-IZC00010537,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis mellifera,6324,"Linnaeus, 1758",Apis,,mellifera,,,,,Species,Rachel Behm,2017,,,,,,,,,5/6/1984,,,1984,5,6,127,,5/6/1984,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Rattlesnake Canyon,,0,,34.471588,-119.687669,WGS84,3036,,rbehm (2018-09-28 15:51:51),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832460,6,391611f9-4bff-46ff-a927-cfef5adbf540,https://library.big-bee.net/portal/collections/individual/index.php?occid=68647
68651,UCSB,IZC,,PreservedSpecimen,21113a2d-f55d-4c3c-af70-cf77954a7d4f,UCSB-IZC00010546,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus californicus,6788,"Smith, 1854",Bombus,,californicus,,,,,Species,Jamie Pawelek,2017,,,,,,Eduardo Moria,,,5/2/1968,,,1968,5,2,123,,5/2/1968,,,,,,,,,,,,,,,,,Adult,Female,1,,Pinned,,North America,,,,United States,US,California,Santa Barbara,,Santa Ynez Valley,,0,,34.584154,-120.097368,WGS84,6152,,rbehm (2018-09-28 15:26:13),,georef batch tool 2018-09-28; GeoLocate,reviewed - high confidence,,,,,,,,,,phorsley,12/28/2020 12:48,832464,6,3dbe4049-1e00-4c21-9902-e9b6bfcfc494,https://library.big-bee.net/portal/collections/individual/index.php?occid=68651
