catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00028288_L,Osmia laeta,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00034485_L,Osmia montana,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00028375_L,Osmia montana,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00009970_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043741_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047359_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047335_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00046991_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00046952_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047222_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047206_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047388_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00047372_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00036467_L,Osmia nemoris,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043418_L,Osmia tristella,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043203_L,Osmia tristella,Osmia,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00035942_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00037026_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00041479_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00040925_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038682_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036128_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00043012_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00035979_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00037067_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00040884_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00035381_L,Peponapis pruinosa,Peponapis,Apinae,Apidae,Female,UCSB
UCSB_IZC00035452_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00015039_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00014677_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00010896_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012237_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012219_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012216_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012184_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00014785_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00010301_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012193_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00010315_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00010266_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00014978_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00014787_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012213_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00014665_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
UCSB_IZC00012240_L,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
