catalogNumber,Species,Genus,Subfamily,Family,Sex,Collection
UCSB_IZC00041511_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00039879_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00042465_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00012454_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00041836_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00041462_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036326_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00040844_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00041034_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00012323_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036320_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036078_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00043427_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00038830_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036757_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00036766_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00037720_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00044054_L,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
UCSB_IZC00044417_L,Andrena candida,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00044742_L,Andrena candida,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00047089_L,Andrena candida,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00034409_L,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043585_L,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043591_L,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043598_L,Andrena oenotherae,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00014691_L,Andrena principalis,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00014716_L,Andrena principalis,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00015215_L,Andrena principalis,Andrena,Andreninae,Andrenidae,Female,UCSB
UCSB_IZC00043466_L,Anthidium collectum,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00030047_L,Anthidium palliventre,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00042274_L,Anthidium palliventre,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00030533_L,Anthidium palliventre,Anthidium,Megachilinae,Megachilidae,Female,UCSB
UCSB_IZC00043095_L,Anthophora californica,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00010322_L,Anthophora edwardsii,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00010379_L,Anthophora edwardsii,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00037376_L,Anthophora edwardsii,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00002908_L,Anthophora flavocincta,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00035539_L,Anthophora flavocincta,Anthophora,Apinae,Apidae,Female,UCSB
UCSB_IZC00036866_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00037043_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00044716_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036056_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00036441_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00010360_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00016671_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00040988_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038889_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00038673_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042543_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00034914_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00030944_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042691_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00009052_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
UCSB_IZC00042463_L,Apis mellifera,Apis,Apinae,Apidae,Female,UCSB
