<<<<<<< HEAD:R/data/WIP/LM_CVA.csv
"","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y","Genus"
"1",0.404440842567743,0.301138355449136,-0.0396037926518898,-0.112212144662942,-0.333087212626012,-0.488551271617304,0.0100637186755668,0.0932488190493253,0.164562685816381,0.109958612622024,0.243033547752778,0.174474953133868,0.202334632667813,0.0361919517726705,0.0135974917418724,-0.176475317092431,-0.292236970471604,-0.31087890212699,"Agapostemon"
"2",0.39790056792787,0.30173847942282,-0.0247047711834291,-0.106129521055631,-0.320197576945501,-0.482101815344797,-0.0013507713523497,0.0816730903723345,0.153172318158682,0.127852408920852,0.253681019786428,0.181365429444617,0.20970576039854,0.0327249406967655,0.00822477568946188,-0.191425994516999,-0.303423081926313,-0.318705258493352,"Agapostemon"
"3",0.402826085827062,0.30333737313991,-0.0285573172869847,-0.110432317593351,-0.317643738106617,-0.499546740425724,0.00754301546495864,0.0873136378364563,0.155160001144289,0.114262996314855,0.247414721469929,0.176892348174089,0.205082853965014,0.0378575102206908,0.000966176511852389,-0.174947372983177,-0.292860825845097,-0.314668407828155,"Agapostemon"
"4",0.40063547831944,0.296221212128207,-0.0247798595346174,-0.116023684000745,-0.324622013244631,-0.487221462798757,0.0139794001391439,0.085108972822703,0.156701956169258,0.116034518744271,0.245449386345179,0.183467649581351,0.212840098336171,0.0388991476594801,0.00199847450959799,-0.184357981077336,-0.29626770596393,-0.318063588134781,"Agapostemon"
"5",0.406776601019613,0.298942170780519,-0.036405079655107,-0.112244938654267,-0.324744928813132,-0.480333746974558,0.00877617568509036,0.0841116893237417,0.155122057288102,0.118207461508757,0.250258273797416,0.179908309814655,0.207702746594645,0.0338110940985842,0.00813943656389176,-0.182864140558452,-0.294926437139357,-0.320236744680136,"Agapostemon"
"6",0.405970035376148,0.292606093257314,-0.0241633410654516,-0.107668997915582,-0.32994149341407,-0.485017233456083,0.00380854885113521,0.0822336931418065,0.162172695224786,0.116326114160155,0.245804197046051,0.184956695782849,0.209985256895022,0.0298431298805852,0.00800657542686724,-0.183906523532035,-0.299064145695472,-0.31195129996402,"Agapostemon"
"7",0.401196460902086,0.28218605356393,-0.0283939221844435,-0.124245990089607,-0.328347872096261,-0.491882214221373,0.0188112804888007,0.0969066616549062,0.173769541981959,0.106711186128618,0.233984849655711,0.182036803855911,0.214042015168,0.0415445801513892,0.0150758582679437,-0.181346366880023,-0.296871583290808,-0.315177343056744,"Agapostemon"
"8",0.40122037798868,0.306252434956459,-0.0259065164581391,-0.113996824740848,-0.331000756153028,-0.493571158443158,0.012638779807582,0.0869968106452457,0.157366852397206,0.11151734446878,0.248364299627581,0.171040984598098,0.202621480075103,0.0351494375068112,0.00657015496517465,-0.171750617816051,-0.291048781699244,-0.312464301726256,"Agapostemon"
"9",0.39678024554823,0.30441249431125,-0.0282571358936368,-0.109265297337615,-0.331557902314348,-0.494019473810714,0.0141722857320849,0.0875841255431906,0.16015065822156,0.114104140962894,0.239071793594012,0.181619022083643,0.210550268387101,0.033342080344268,0.00494839052704342,-0.180620710736671,-0.290766900924546,-0.312248084237743,"Agapostemon"
"10",0.409969114126999,0.292880093669238,-0.0354956000491154,-0.108700202950526,-0.323954885341386,-0.480524292760039,0.00356299593125868,0.0846597493196326,0.157603028053937,0.118752154688207,0.243500402843648,0.18585314186579,0.215508583071087,0.0311265941841164,0.00353675034100399,-0.180899382345888,-0.298870019616011,-0.318508225031954,"Agapostemon"
"11",0.416814025537278,0.329282945190474,0.0340510924372281,-0.0920581238910683,-0.344143348004989,-0.47927477727754,-0.0326368314362058,0.0454312391953245,0.122533778249499,0.163804636458661,0.247884785218677,0.173072292197813,0.190740390559471,-0.00569188885226406,-0.0185034076836132,-0.135862439183045,-0.287470642744804,-0.327973725970893,"Andrena"
"12",0.418608570931382,0.326149726659946,0.0474547878430205,-0.0917438591517101,-0.338273028526436,-0.48857764179877,-0.0270252855791627,0.0402670703311896,0.11313965929054,0.163721073016726,0.250088876967411,0.179192672018872,0.187078481092941,-0.00522623240982074,-0.0304842996727276,-0.123212685300121,-0.283622536233283,-0.337535349479999,"Andrena"
"13",0.41619683675259,0.323940367346492,0.036663602821396,-0.0873948952404927,-0.336788146896243,-0.493493347350369,-0.0265769792339448,0.0455942896671761,0.121858272133393,0.160889547978136,0.246120118225155,0.176057927323021,0.189577740288796,0.000341387603638457,-0.0255786810071846,-0.13235993644243,-0.283085930878069,-0.331962173091063,"Andrena"
