,catalogNumber,LM1x,LM2x,LM3x,LM4x,LM5x,LM6x,LM7x,LM8x,LM9x,LM1y,LM2y,LM3y,LM4y,LM5y,LM6y,LM7y,LM8y,LM9y,Species,Genus,Subfamily,Family,Sex,Collection
131,UCSB_IZC00012323_L,0.401452837,0.282633423,-0.028107562,-0.123930344,-0.328353688,-0.491952437,0.018528891,0.096442871,0.17328601,0.106086457,0.233570485,0.182102125,0.214265033,0.04207738,0.015873583,-0.181383513,-0.29707835,-0.3155132,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
132,UCSB_IZC00012323_R,0.400679997,0.283706386,-0.026375238,-0.117108581,-0.326550151,-0.493870662,0.015002057,0.092511945,0.172004248,0.106915877,0.241256299,0.180091939,0.210486729,0.04384978,0.014259501,-0.183103319,-0.298413134,-0.315343672,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
133,UCSB_IZC00012454_L,0.403076451,0.303812271,-0.02825704,-0.110097021,-0.317626283,-0.499607526,0.007251263,0.086817687,0.154630197,0.113580318,0.246917028,0.176950996,0.205284472,0.038406506,0.001830521,-0.174957021,-0.293043084,-0.314969736,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
134,UCSB_IZC00012454_R,0.395175054,0.30335614,-0.026499923,-0.111555074,-0.320215822,-0.502614363,0.009834209,0.089169125,0.163350654,0.104796001,0.247293041,0.179983055,0.207472046,0.043251348,0.000582512,-0.177223013,-0.292245361,-0.313909629,Agapostemon texanus,Agapostemon,Halictinae,Halictidae,Female,UCSB
135,UCSB_IZC00014665_L,0.485959931,0.32048387,-0.100130053,-0.183432214,-0.350920666,-0.412171783,-0.037100056,0.076884432,0.20042654,0.156631646,0.199992739,0.116323538,0.145394814,0.049147658,0.061879564,-0.166182836,-0.262576855,-0.300610268,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
136,UCSB_IZC00014665_R,0.486950749,0.318550828,-0.103137503,-0.182295141,-0.346738186,-0.411053985,-0.036821908,0.075517504,0.199027643,0.152783588,0.204978321,0.121913028,0.146632359,0.048314922,0.059891459,-0.168259643,-0.265232333,-0.3010217,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
137,UCSB_IZC00014677_L,0.466036619,0.304376362,-0.105979272,-0.184031226,-0.35031403,-0.417306374,-0.02863791,0.09106528,0.224790551,0.137798854,0.197716362,0.128343818,0.157796335,0.05675255,0.070716216,-0.170278969,-0.270524572,-0.308320595,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
138,UCSB_IZC00014677_R,0.470613161,0.312489099,-0.11048967,-0.188970463,-0.354306444,-0.403432774,-0.031539779,0.086686242,0.218950627,0.14498072,0.198472393,0.126757984,0.155903865,0.055058845,0.070382272,-0.174061059,-0.269278461,-0.308216558,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
139,UCSB_IZC00014785_L,0.465519892,0.293690661,-0.095113155,-0.180990211,-0.343875019,-0.408755444,-0.032934098,0.085451882,0.21700549,0.144907058,0.207965281,0.138399248,0.162831272,0.056194746,0.066109876,-0.178065561,-0.275492748,-0.322849173,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
140,UCSB_IZC00014785_R,0.452637456,0.301854961,-0.095298408,-0.171066817,-0.337651549,-0.413941342,-0.037188701,0.088389486,0.212264914,0.15745039,0.201529525,0.141965556,0.168758266,0.059107493,0.060321668,-0.181254279,-0.279766108,-0.328112511,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
141,UCSB_IZC00014787_L,0.478214827,0.315702554,-0.107452714,-0.174667014,-0.348830221,-0.411447072,-0.035544968,0.081927075,0.202097534,0.157506993,0.197480501,0.125444728,0.15164832,0.04823395,0.061766663,-0.161410512,-0.267728346,-0.312942297,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
142,UCSB_IZC00014787_R,0.476368802,0.316203479,-0.104125819,-0.181918305,-0.337861569,-0.412744932,-0.037712598,0.080613073,0.201177869,0.162003935,0.200397465,0.127191156,0.146555055,0.054781976,0.062909662,-0.168737673,-0.271819041,-0.313282537,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
143,UCSB_IZC00014915_L,0.449387087,0.374976005,-0.058014106,-0.215026037,-0.412752773,-0.444073244,0.04781866,0.07726789,0.180416518,0.081996132,0.221026303,0.104578814,0.12198103,0.026973747,0.04584738,-0.083919667,-0.239646638,-0.278837101,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
144,UCSB_IZC00014915_R,0.450757125,0.372538803,-0.061401037,-0.205385228,-0.414804691,-0.443028465,0.04521642,0.075899922,0.180207151,0.084206387,0.220828489,0.106957558,0.12394471,0.024060053,0.04588151,-0.086256403,-0.241686804,-0.2779355,Habropoda depressa,Habropoda,Apinae,Apidae,Female,UCSB
145,UCSB_IZC00014978_L,0.473385389,0.308083524,-0.114661953,-0.182964273,-0.351678019,-0.414222268,-0.031158974,0.095001238,0.218215336,0.142348682,0.193637025,0.125357998,0.155917201,0.058689611,0.069160839,-0.175496764,-0.264599829,-0.305014763,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
146,UCSB_IZC00014978_R,0.468574284,0.31438232,-0.110952359,-0.174753871,-0.349255304,-0.417417673,-0.030933778,0.091292676,0.209063705,0.146092819,0.196682966,0.131096779,0.15753755,0.056707114,0.061242717,-0.178429491,-0.26557362,-0.305356833,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
147,UCSB_IZC00015039_L,0.470227902,0.310965144,-0.103316759,-0.181177713,-0.341622227,-0.419197698,-0.031401754,0.088619055,0.206904051,0.149015119,0.20041727,0.12541291,0.157663164,0.055457967,0.062431642,-0.169538053,-0.269522926,-0.311337093,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
148,UCSB_IZC00015039_R,0.466723617,0.306832118,-0.103702159,-0.187551859,-0.34433414,-0.41311683,-0.029884983,0.089644615,0.215389622,0.137535089,0.20694025,0.132393754,0.157549055,0.054585895,0.06771234,-0.172800904,-0.273016478,-0.310899002,Xylocopa tabaniformis orpifex,Xylocopa,Xylocopinae,Apidae,Female,UCSB
