"","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y"
"Agapostemon",0.401977943935556,0.299050729690937,-0.0308622413056737,-0.113782340901942,-0.324895027615024,-0.482788451385766,0.0065348505251801,0.0858313516625675,0.158933185394166,0.116756877673541,0.247185799425985,0.181513900569951,0.209638870784773,0.036672841710663,0.00896641776188576,-0.184106179373902,-0.299287033651664,-0.317341494901233
"Andrena",0.410704164227422,0.318539152695232,0.0478447338773623,-0.0832034248716006,-0.366105969074224,-0.490646309137843,-0.0244983259639602,0.055701810787262,0.13166416746035,0.150788158395571,0.238268076419952,0.178886980618962,0.189703327185798,-0.00594874964427155,-0.010818667751287,-0.144858581751924,-0.279618924468763,-0.316401619004037
"Anthophora",0.49688351371937,0.363323343746903,-0.0990360359480655,-0.213208268663669,-0.405872516075267,-0.434445341538017,0.0383896997853294,0.079458042833306,0.174507562140111,0.121065512212328,0.181109382998834,0.0889098580050798,0.105925575732732,0.0354395622669923,0.0529659420542835,-0.0756590427338771,-0.225779473371281,-0.283977317165091
"Apis",0.481783113424568,0.294456380116962,0.0116389665988991,-0.159449689584713,-0.355386990414314,-0.443819136531608,-0.0436774371717867,0.0544510538418381,0.160003739720155,0.197193769685875,0.190566061885638,0.13887243574028,0.149486079244916,0.0394005340741556,0.0230240571153399,-0.162580397552934,-0.25983917160737,-0.316123368585901
"Bombus",0.450725610403681,0.374806636578989,-0.111134875749292,-0.211171968887315,-0.358139919461316,-0.426921851094813,0.0207362579398448,0.0844580059640057,0.176642104306214,0.122313658609288,0.224217948847962,0.0984803434695994,0.129973643663023,0.0433300384626974,0.0621287596849083,-0.120528255378174,-0.250457148852287,-0.309458988507017
"Calliopsis",0.401125966585662,0.271636546910522,0.0271061534451016,-0.122100389746109,-0.35258306758866,-0.467651601546191,0.00215853870844733,0.0862502402869743,0.154057612944254,0.143474611811468,0.227748841108561,0.191131138885543,0.20798841786162,0.028355801581019,0.0106853029758511,-0.15754845661798,-0.306688180758319,-0.345147476847763
"Ceratina",0.392866386910214,0.291090080735467,-0.00210246433555619,-0.121283161414424,-0.335699391909033,-0.494764221923439,0.0272503748722402,0.0949968267190446,0.147645570345486,0.138724689982538,0.217250732885164,0.185785134124142,0.209987398117542,0.0341940308599284,0.014829036717998,-0.183084244971193,-0.289130204427396,-0.328556573288726
"Diadasia",0.442219115969825,0.325677627707158,-0.0619716982598182,-0.183219709076059,-0.343287357585908,-0.475328130836185,0.0352675849036514,0.0947352511106643,0.165907316066671,0.123945006317897,0.214473201639509,0.118521268172634,0.143510426129877,0.0478708805518579,0.0467079414261207,-0.102318542302039,-0.280926220532007,-0.31178396140385
"Eucera",0.44810139575293,0.273540428629553,-0.0279221899944437,-0.167714524258957,-0.3651122728851,-0.447083760478914,0.0387279865600882,0.0858913015727709,0.161571635102072,0.145752991405749,0.210443647209247,0.141220665053812,0.16450546557385,0.0238203374260944,0.0560233142116964,-0.0956292540044461,-0.289225071460537,-0.356912095415464
"Habropoda",0.452623349826489,0.385519415880084,-0.0657259883239241,-0.206102736160293,-0.405421311225042,-0.441176850944139,0.0417668485930575,0.0755359785965028,0.162981293757264,0.094512354932249,0.228155082821472,0.100980075220612,0.118650488339119,0.0227058396520493,0.044329491143767,-0.0896451504863484,-0.237042255413204,-0.282645926209716
"Halictus",0.392483899106916,0.312466787596374,-0.0155883911077259,-0.110583062107706,-0.341379284055799,-0.493634402894257,0.0136658114835009,0.0794935581075602,0.163075083871138,0.100829135561373,0.254014786672955,0.175805786574722,0.20508835752789,0.0252076709902818,0.0071097001455176,-0.169825839939089,-0.285342565245604,-0.312887032288046
"Hesperapis",0.407977585073404,0.238278314972934,0.034386666091224,-0.10121680082426,-0.370158405546315,-0.540360291446155,0.0192719208680779,0.1241224268628,0.187698583948291,0.0982332907633371,0.187726778354087,0.179539740699762,0.211929843651226,0.0331077491028387,0.0102708584677633,-0.12952527670383,-0.267477303125197,-0.323805681209988
"Lasioglossum",0.406401656645974,0.267280211557759,-0.0264377227783653,-0.109638114724837,-0.325567443380137,-0.515559271862501,0.041410024240995,0.0962323191316736,0.165878341169438,0.121465462226721,0.205521770964348,0.187824839119691,0.221728214248366,0.0300738960896827,0.0216401168098886,-0.184365334676608,-0.28218990605455,-0.32169905872754
"Megachile",0.4468150541603,0.328714432025597,0.00307961147206982,-0.145242769541964,-0.373372632556831,-0.428124556582602,-0.00557116130139614,0.0583137471936681,0.115388275131159,0.182341756802708,0.228406578198618,0.147604905124654,0.161914346602882,0.0067059639157515,0.0262416803147811,-0.142900844472386,-0.297456436641221,-0.312857949845787
"Osmia",0.43425756883224,0.297312730434962,-0.0105331177132165,-0.19396812864124,-0.392803562662336,-0.447734955155521,0.0287116840673954,0.109230894368451,0.175526886469265,0.123566071269816,0.196262465325442,0.151074532355002,0.149051648102398,0.0276535298783294,0.0612807460264534,-0.108317882435788,-0.284047004466426,-0.316524106055227
"Panurginus",0.408709820885244,0.307668794137557,0.0473390005447167,-0.0759924753987553,-0.349538888218154,-0.518908011115124,-0.0227845421043071,0.0708774807607929,0.132628820508029,0.144773641755867,0.220659963138497,0.191433916257181,0.201290270052026,0.000189341528473579,-0.0219216051678275,-0.149649715486877,-0.274209610072047,-0.312566202005293
"Xylocopa",0.469448141123184,0.306380123663294,-0.101863701731281,-0.181638084896617,-0.347662748180528,-0.40928559433362,-0.0366451270745207,0.0878541710643944,0.213412820365693,0.145042049637274,0.204459741493949,0.132419450683864,0.158201132136677,0.0534524454600622,0.0658388319878129,-0.175883979285762,-0.271251071949617,-0.312278600164261
