Id	DryWeight_g_G	ITD_cm_G	ITD (cm) 4
UCSB_IZC00036167_R	NaN	NaN	NaN
UCSB_IZC00036441_L	NaN	NaN	0.284
UCSB_IZC00036441_R	NaN	NaN	NaN
UCSB_IZC00036553_L	NaN	NaN	NaN
UCSB_IZC00036553_R	NaN	NaN	NaN
UCSB_IZC00036565_L	NaN	NaN	NaN
UCSB_IZC00036565_R	NaN	NaN	NaN
UCSB_IZC00037222_L	NaN	NaN	NaN
UCSB_IZC00037222_R	NaN	NaN	NaN
UCSB_IZC00038548_L	NaN	NaN	NaN
UCSB_IZC00038548_R	NaN	NaN	NaN
UCSB_IZC00038673_L	NaN	NaN	NaN
UCSB_IZC00038673_R	NaN	NaN	NaN
UCSB_IZC00038889_L	NaN	NaN	NaN
UCSB_IZC00038889_R	NaN	NaN	NaN
UCSB_IZC00038891_L	NaN	NaN	NaN
UCSB_IZC00038891_R	NaN	NaN	NaN
UCSB_IZC00040410_L	NaN	NaN	NaN
UCSB_IZC00040410_R	NaN	NaN	NaN
UCSB_IZC00040910_L	NaN	NaN	NaN
UCSB_IZC00040910_R	NaN	NaN	NaN
UCSB_IZC00040988_L	NaN	NaN	NaN
UCSB_IZC00040988_R	NaN	NaN	NaN
UCSB_IZC00042293_L	NaN	NaN	NaN
UCSB_IZC00042293_R	NaN	NaN	NaN
UCSB_IZC00042371_L	NaN	NaN	NaN
UCSB_IZC00042371_R	NaN	NaN	NaN
UCSB_IZC00042399_L	NaN	NaN	NaN
UCSB_IZC00042399_R	NaN	NaN	NaN
UCSB_IZC00042463_L	NaN	NaN	NaN
UCSB_IZC00042463_R	NaN	NaN	NaN
UCSB_IZC00042543_L	NaN	NaN	NaN
UCSB_IZC00042543_R	NaN	NaN	NaN
UCSB_IZC00042591_L	NaN	NaN	NaN
UCSB_IZC00042591_R	NaN	NaN	NaN
UCSB_IZC00042691_L	NaN	NaN	NaN
UCSB_IZC00042691_R	NaN	NaN	NaN
UCSB_IZC00042834_L	NaN	NaN	NaN
UCSB_IZC00042834_R	NaN	NaN	NaN
UCSB_IZC00042882_L	NaN	NaN	NaN
UCSB_IZC00042882_R	NaN	NaN	NaN
UCSB_IZC00044306_L	NaN	NaN	0.297
UCSB_IZC00044306_R	NaN	NaN	NaN
UCSB_IZC00044443_L	NaN	NaN	NaN
UCSB_IZC00044443_R	NaN	NaN	NaN
UCSB_IZC00044716_L	NaN	NaN	NaN
UCSB_IZC00044716_R	NaN	NaN	NaN
UCSB_UNKNOWN1_L	NaN	NaN	NaN
UCSB_UNKNOWN1_R	NaN	NaN	NaN
UCSB_IZC00010425_L	NaN	NaN	NaN
UCSB_IZC00010425_R	NaN	NaN	NaN
UCSB_IZC00010431_L	NaN	NaN	NaN
UCSB_IZC00010431_R	NaN	NaN	NaN
UCSB_IZC00010460_L	NaN	NaN	0.406
UCSB_IZC00010460_R	NaN	NaN	NaN
UCSB_IZC00010478_L	NaN	NaN	NaN
UCSB_IZC00010478_R	NaN	NaN	NaN
UCSB_IZC00010546_L	NaN	NaN	NaN
UCSB_IZC00010546_R	NaN	NaN	NaN
UCSB_IZC00028371_L	NaN	NaN	0.337
UCSB_IZC00028371_R	NaN	NaN	NaN
UCSB_IZC00035407_L	NaN	NaN	NaN
UCSB_IZC00035407_R	NaN	NaN	NaN
UCSB_IZC00035618_L	NaN	NaN	0.483
UCSB_IZC00035618_R	NaN	NaN	NaN
UCSB_IZC00041667_L	NaN	NaN	0.309
UCSB_IZC00041667_R	NaN	NaN	NaN
UCSB_IZC00042970_L	NaN	NaN	0.341
UCSB_IZC00042970_R	NaN	NaN	NaN
UCSB_IZC00000964_L	NaN	NaN	NaN
UCSB_IZC00000964_R	NaN	NaN	NaN
UCSB_IZC00006181_L	NaN	NaN	NaN
UCSB_IZC00006181_R	NaN	NaN	NaN
UCSB_IZC00009089_L	NaN	NaN	NaN
UCSB_IZC00009089_R	NaN	NaN	NaN
UCSB_IZC00009102_L	NaN	NaN	NaN
UCSB_IZC00009102_R	NaN	NaN	NaN
UCSB_IZC00010403_L	NaN	NaN	NaN
UCSB_IZC00010403_R	NaN	NaN	NaN
UCSB_IZC00035286_L	NaN	NaN	NaN
UCSB_IZC00035286_R	NaN	NaN	NaN
UCSB_IZC00035441_L	NaN	NaN	NaN
UCSB_IZC00035441_R	NaN	NaN	NaN
UCSB_IZC00035453_L	NaN	NaN	NaN
UCSB_IZC00035453_R	NaN	NaN	NaN
UCSB_IZC00035519_L	NaN	NaN	NaN
UCSB_IZC00035519_R	NaN	NaN	NaN
UCSB_IZC00035534_L	NaN	NaN	NaN
UCSB_IZC00035534_R	NaN	NaN	NaN
UCSB_IZC00035538_L	NaN	NaN	NaN
UCSB_IZC00035538_R	NaN	NaN	NaN
UCSB_IZC00035610_L	NaN	NaN	NaN
UCSB_IZC00035610_R	NaN	NaN	NaN
UCSB_IZC00036776_L	NaN	NaN	NaN
UCSB_IZC00036776_R	NaN	NaN	NaN
UCSB_IZC00037197_L	NaN	NaN	NaN
UCSB_IZC00037197_R	NaN	NaN	NaN
UCSB_IZC00039622_L	NaN	NaN	NaN
UCSB_IZC00039622_R	NaN	NaN	NaN
