catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00055313_L,0.067,0.237
UCSB_IZC00055296_L,0.073,0.246
UCSB_IZC00055291_L,0.076,0.255
UCSB_IZC00062592_L,0.044,0.119
UCSB_IZC00058528_L,0.053,0.142
UCSB_IZC00058168_L,0.048,0.146
UCSB_IZC00058337_L,0.052,0.153
UCSB_IZC00058671_L,0.051,0.156
UCSB_IZC00058352_L,0.051,0.156
UCSB_IZC00058884_L,0.05,0.156
UCSB_IZC00058341_L,0.054,0.159
UCSB_IZC00065436_L,0.036,0.107
UCSB_IZC00055347_L,0.111,0.352
UCSB_IZC00055773_L,0.05,0.108
UCSB_IZC00058786_L,0.039,0.114
UCSB_IZC00055293_L,0.04,0.115
UCSB_IZC00055267_L,0.051,0.116
UCSB_IZC00055775_L,0.048,0.118
UCSB_IZC00058752_L,0.052,0.12
UCSB_IZC00055292_L,0.048,0.121
UCSB_IZC00065411_L,0.05,0.124
UCSB_IZC00055364_L,0.04,0.126
UCSB_IZC00065460_L,0.049,0.126
UCSB_IZC00055309_L,0.049,0.127
UCSB_IZC00058800_L,0.051,0.128
UCSB_IZC00065441_L,0.052,0.13
UCSB_IZC00062609_L,0.05,0.131
UCSB_IZC00062619_L,0.052,0.131
UCSB_IZC00062636_L,0.051,0.132
UCSB_IZC00065432_L,0.049,0.132
UCSB_IZC00059210_L,0.051,0.133
UCSB_IZC00065364_L,0.038,0.134
UCSB_IZC00055751_L,0.052,0.134
UCSB_IZC00065351_L,0.05,0.134
UCSB_IZC00055333_L,0.05,0.135
UCSB_IZC00055273_L,0.051,0.135
UCSB_IZC00055284_L,0.049,0.136
UCSB_IZC00058774_L,0.05,0.137
UCSB_IZC00055763_L,0.048,0.138
UCSB_IZC00058798_L,0.049,0.138
UCSB_IZC00055369_L,0.054,0.14
UCSB_IZC00062584_L,0.05,0.14
UCSB_IZC00055779_L,0.048,0.141
UCSB_IZC00059216_L,0.052,0.149
UCSB_IZC00055340_L,0.081,0.335
UCSB_IZC00055344_L,0.087,0.344
UCSB_IZC00059205_L,0.047,0.121
UCSB_IZC00058699_L,0.039,0.139
UCSB_IZC00062614_L,0.042,0.105
UCSB_IZC00058692_L,0.044,0.113
UCSB_IZC00062600_L,0.037,0.114
UCSB_IZC00058712_L,0.047,0.122
UCSB_IZC00058773_L,0.056,0.126
UCSB_IZC00058484_L,0.05,0.147
UCSB_IZC00058397_L,0.046,0.149
UCSB_IZC00058423_L,0.051,0.156
UCSB_IZC00058817_L,0.051,0.161
UCSB_IZC00058555_L,0.051,0.17
UCSB_IZC00058753_L,0.05,0.106
UCSB_IZC00058777_L,0.049,0.107
UCSB_IZC00065443_L,0.049,0.117
UCSB_IZC00056162_L,0.05,0.085
UCSB_IZC00065384_L,0.066,0.161
UCSB_IZC00055407_L,0.059,0.135
UCSB_IZC00058797_L,0.045,0.112
UCSB_IZC00063883_L,0.047,0.091
UCSB_IZC00063942_L,0.047,0.093
UCSB_IZC00063913_L,0.038,0.095
UCSB_IZC00062593_L,0.044,0.088
UCSB_IZC00065358_L,0.041,0.165
UCSB_IZC00058691_L,0.045,0.114
UCSB_IZC00062594_L,0.037,0.121
UCSB_IZC00065434_L,0.045,0.113
UCSB_IZC00055766_L,0.096,0.351
UCSB_IZC00055768_L,0.086,0.274
UCSB_IZC00055275_L,0.079,0.285
UCSB_IZC00065444_L,0.072,0.286
UCSB_IZC00055339_L,0.07,0.292
