catalogNumber,DryWeight_g_G,ITD_cm_G
UCSB_IZC00058719_L,0.236,0.532
UCSB_IZC00058788_L,0.25,0.537
UCSB_IZC00058695_L,0.246,0.537
UCSB_IZC00062601_L,0.239,0.539
UCSB_IZC00058689_L,0.213,0.539
UCSB_IZC00065458_L,0.215,0.547
UCSB_IZC00058685_L,0.323,0.548
UCSB_IZC00055378_L,0.278,0.554
UCSB_IZC00062599_L,0.221,0.555
UCSB_IZC00055311_L,0.27,0.558
UCSB_IZC00058723_L,0.238,0.559
UCSB_IZC00055303_L,0.246,0.559
UCSB_IZC00062606_L,0.33,0.559
UCSB_IZC00058738_L,0.269,0.562
UCSB_IZC00065445_L,0.324,0.571
UCSB_IZC00065453_L,0.314,0.572
UCSB_IZC00062590_L,0.285,0.575
UCSB_IZC00059198_L,0.332,0.576
UCSB_IZC00059204_L,0.234,0.576
UCSB_IZC00065433_L,0.248,0.577
UCSB_IZC00055299_L,0.261,0.581
UCSB_IZC00065415_L,0.233,0.581
UCSB_IZC00065428_L,0.25,0.582
UCSB_IZC00058681_L,0.233,0.587
UCSB_IZC00055330_L,0.252,0.588
UCSB_IZC00058720_L,0.244,0.597
UCSB_IZC00055359_L,0.233,0.598
UCSB_IZC00058758_L,0.24,0.604
UCSB_IZC00058739_L,0.345,0.614
UCSB_IZC00058761_L,0.286,0.629
UCSB_IZC00065424_L,0.258,0.644
UCSB_IZC00058731_L,0.218,0.495
UCSB_IZC00058708_L,0.375,0.542
UCSB_IZC00065430_L,0.305,0.545
UCSB_IZC00065439_L,0.385,0.548
UCSB_IZC00058198_L,0.039,0.13
UCSB_IZC00060190_L,0.048,0.123
UCSB_IZC00055300_R,0.098,0.315
UCSB_IZC00065402_R,0.1,0.325
UCSB_IZC00055367_R,0.091,0.313
UCSB_IZC00055365_R,0.095,0.335
UCSB_IZC00065352_R,0.087,0.344
UCSB_IZC00065369_R,0.101,0.345
UCSB_IZC00055262_R,0.113,0.361
UCSB_IZC00055270_R,0.107,0.361
UCSB_IZC00061378_R,0.038,0.109
UCSB_IZC00056345_R,0.038,0.112
UCSB_IZC00054976_R,0.038,0.115
UCSB_IZC00058164_R,0.051,0.115
UCSB_IZC00058480_R,0.038,0.116
UCSB_IZC00058155_R,0.049,0.118
UCSB_IZC00058174_R,0.049,0.12
UCSB_IZC00058197_R,0.049,0.121
UCSB_IZC00056446_R,0.038,0.123
UCSB_IZC00058158_R,0.05,0.123
UCSB_IZC00058145_R,0.049,0.124
UCSB_IZC00058529_R,0.04,0.126
UCSB_IZC00055003_R,0.039,0.126
UCSB_IZC00058377_R,0.05,0.126
UCSB_IZC00058368_R,0.039,0.127
UCSB_IZC00058141_R,0.039,0.128
UCSB_IZC00058167_R,0.049,0.13
UCSB_IZC00058153_R,0.049,0.13
UCSB_IZC00058199_R,0.05,0.134
UCSB_IZC00058810_R,0.04,0.135
UCSB_IZC00058433_R,0.048,0.124
UCSB_IZC00058176_R,0.041,0.125
UCSB_IZC00058144_R,0.049,0.125
UCSB_IZC00058171_R,0.052,0.138
UCSB_IZC00055776_R,0.131,0.4
UCSB_IZC00065451_R,0.048,0.119
UCSB_IZC00055357_R,0.046,0.128
UCSB_IZC00055774_R,0.065,0.169
UCSB_IZC00055360_R,0.067,0.171
UCSB_IZC00055394_R,0.048,0.122
UCSB_IZC00055390_R,0.048,0.124
UCSB_IZC00055455_R,0.04,0.126
UCSB_IZC00055414_R,0.04,0.133
UCSB_IZC00055408_R,0.049,0.143
UCSB_IZC00055397_R,0.048,0.122
UCSB_IZC00058756_R,0.05,0.111
UCSB_IZC00065455_R,0.043,0.083
UCSB_IZC00055383_R,0.048,0.126
UCSB_IZC00055428_R,0.048,0.126
UCSB_IZC00058703_R,0.045,0.114
UCSB_IZC00055288_R,0.041,0.138
UCSB_IZC00062624_R,0.051,0.161
UCSB_IZC00065416_R,0.047,0.133
UCSB_IZC00055753_R,0.064,0.151
UCSB_IZC00065395_R,0.064,0.151
UCSB_IZC00055376_R,0.056,0.153
UCSB_IZC00065360_R,0.066,0.163
UCSB_IZC00055324_R,0.058,0.168
UCSB_IZC00055742_R,0.068,0.171
UCSB_IZC00055329_R,0.067,0.173
UCSB_IZC00065426_R,0.068,0.182
UCSB_IZC00055435_R,0.047,0.117
UCSB_IZC00055439_R,0.048,0.119
UCSB_IZC00055473_R,0.048,0.12
UCSB_IZC00055388_R,0.049,0.121
UCSB_IZC00055433_R,0.049,0.125
UCSB_IZC00055403_R,0.048,0.128
UCSB_IZC00055430_R,0.049,0.132
UCSB_IZC00055400_R,0.049,0.132
UCSB_IZC00055497_R,0.05,0.138
UCSB_IZC00055440_R,0.049,0.14
UCSB_IZC00058754_R,0.045,0.102
UCSB_IZC00059177_R,0.046,0.112
UCSB_IZC00058726_R,0.044,0.112
UCSB_IZC00059184_R,0.045,0.115
UCSB_IZC00065420_R,0.046,0.117
UCSB_IZC00058645_R,0.047,0.123
UCSB_IZC00058180_R,0.046,
UCSB_IZC00055405_R,0.048,0.094
UCSB_IZC00055426_R,0.048,0.113
UCSB_IZC00058649_R,0.049,0.117
UCSB_IZC00055424_R,0.049,0.122
UCSB_IZC00055479_R,0.049,0.123
UCSB_IZC00055423_R,0.049,0.123
UCSB_IZC00055420_R,0.049,0.124
UCSB_IZC00055389_R,0.048,0.126
UCSB_IZC00058146_R,0.05,0.129
UCSB_IZC00055760_R,0.069,0.246
UCSB_IZC00065438_R,0.049,0.107
UCSB_IZC00065423_R,0.093,0.336
UCSB_IZC00062625_R,0.05,0.111
UCSB_IZC00065374_R,0.058,0.272
UCSB_IZC00055289_R,0.046,0.117
UCSB_IZC00065347_R,0.042,0.141
UCSB_IZC00058722_R,0.044,0.107
UCSB_IZC00058693_R,0.046,
UCSB_IZC00055319_R,0.046,0.12
UCSB_IZC00065379_R,0.066,0.17
UCSB_IZC00058325_R,0.052,0.154
UCSB_IZC00058659_R,0.051,0.158
UCSB_IZC00055769_R,0.046,0.09
UCSB_IZC00058688_R,0.044,0.092
UCSB_IZC00055302_R,0.048,0.115
UCSB_IZC00055338_R,0.048,0.116
UCSB_IZC00065355_R,0.083,0.31
UCSB_IZC00055791_R,0.105,0.318
UCSB_IZC00055372_R,0.046,0.129
UCSB_IZC00058771_R,0.053,0.133
UCSB_IZC00059192_R,0.055,0.134
UCSB_IZC00058766_R,0.047,0.134
UCSB_IZC00059194_R,0.054,0.135
UCSB_IZC00058716_R,0.035,0.135
UCSB_IZC00058710_R,0.047,0.135
UCSB_IZC00058767_R,0.055,0.139
UCSB_IZC00058686_R,0.053,0.14
UCSB_IZC00058715_R,0.039,0.141
UCSB_IZC00065345_R,0.051,0.141
UCSB_IZC00065452_R,0.044,0.141
UCSB_IZC00059187_R,0.055,0.148
UCSB_IZC00055748_R,0.047,0.158
UCSB_IZC00059211_R,0.051,0.111
UCSB_IZC00059166_R,0.052,0.115
UCSB_IZC00058759_R,0.051,0.116
UCSB_IZC00062585_R,0.053,0.13
UCSB_IZC00055331_R,0.051,0.131
UCSB_IZC00062588_R,0.043,0.132
UCSB_IZC00059199_R,0.053,0.139
UCSB_IZC00058698_R,0.053,0.14
UCSB_IZC00058795_R,0.046,0.14
UCSB_IZC00062631_R,0.054,0.144
UCSB_IZC00065427_R,0.044,0.149
UCSB_IZC00059218_R,0.053,0.116
UCSB_IZC00059214_R,0.05,0.133
UCSB_IZC00062621_R,0.052,0.137
UCSB_IZC00055265_R,0.06,0.268
UCSB_IZC00055304_R,0.061,0.27
UCSB_IZC00055314_R,0.062,0.277
UCSB_IZC00062640_R,0.067,0.296
UCSB_IZC00058706_R,0.061,0.299
UCSB_IZC00058737_R,0.068,0.305
UCSB_IZC00062595_R,0.068,0.31
UCSB_IZC00058740_R,0.067,0.316
UCSB_IZC00062639_R,0.069,0.325
UCSB_IZC00065456_R,0.08,0.258
UCSB_IZC00055323_R,0.066,0.23
UCSB_IZC00055757_R,0.065,0.231
UCSB_IZC00055313_R,0.067,0.237
UCSB_IZC00055296_R,0.073,0.246
UCSB_IZC00055291_R,0.076,0.255
UCSB_IZC00062592_R,0.044,0.119
UCSB_IZC00058528_R,0.053,0.142
UCSB_IZC00058168_R,0.048,0.146
UCSB_IZC00058337_R,0.052,0.153
UCSB_IZC00058671_R,0.051,0.156
UCSB_IZC00058352_R,0.051,0.156
UCSB_IZC00058884_R,0.05,0.156
UCSB_IZC00058341_R,0.054,0.159
UCSB_IZC00065436_R,0.036,0.107
UCSB_IZC00055347_R,0.111,0.352
UCSB_IZC00055773_R,0.05,0.108
UCSB_IZC00058786_R,0.039,0.114
UCSB_IZC00055293_R,0.04,0.115
UCSB_IZC00055267_R,0.051,0.116
UCSB_IZC00055775_R,0.048,0.118
UCSB_IZC00058752_R,0.052,0.12
UCSB_IZC00055292_R,0.048,0.121
UCSB_IZC00065411_R,0.05,0.124
UCSB_IZC00055364_R,0.04,0.126
UCSB_IZC00065460_R,0.049,0.126
UCSB_IZC00055309_R,0.049,0.127
UCSB_IZC00058800_R,0.051,0.128
UCSB_IZC00065441_R,0.052,0.13
UCSB_IZC00062609_R,0.05,0.131
UCSB_IZC00062619_R,0.052,0.131
UCSB_IZC00062636_R,0.051,0.132
UCSB_IZC00065432_R,0.049,0.132
UCSB_IZC00059210_R,0.051,0.133
UCSB_IZC00065364_R,0.038,0.134
UCSB_IZC00055751_R,0.052,0.134
UCSB_IZC00065351_R,0.05,0.134
UCSB_IZC00055333_R,0.05,0.135
UCSB_IZC00055273_R,0.051,0.135
UCSB_IZC00055284_R,0.049,0.136
UCSB_IZC00058774_R,0.05,0.137
UCSB_IZC00055763_R,0.048,0.138
UCSB_IZC00058798_R,0.049,0.138
UCSB_IZC00055369_R,0.054,0.14
UCSB_IZC00062584_R,0.05,0.14
UCSB_IZC00055779_R,0.048,0.141
UCSB_IZC00059216_R,0.052,0.149
UCSB_IZC00055340_R,0.081,0.335
UCSB_IZC00055344_R,0.087,0.344
UCSB_IZC00059205_R,0.047,0.121
UCSB_IZC00058699_R,0.039,0.139
UCSB_IZC00062614_R,0.042,0.105
UCSB_IZC00058692_R,0.044,0.113
UCSB_IZC00062600_R,0.037,0.114
UCSB_IZC00058712_R,0.047,0.122
UCSB_IZC00058773_R,0.056,0.126
UCSB_IZC00058484_R,0.05,0.147
UCSB_IZC00058397_R,0.046,0.149
UCSB_IZC00058423_R,0.051,0.156
UCSB_IZC00058817_R,0.051,0.161
UCSB_IZC00058555_R,0.051,0.17
UCSB_IZC00058753_R,0.05,0.106
UCSB_IZC00058777_R,0.049,0.107
UCSB_IZC00065443_R,0.049,0.117
UCSB_IZC00056162_R,0.05,0.085
UCSB_IZC00065384_R,0.066,0.161
UCSB_IZC00055407_R,0.059,0.135
UCSB_IZC00058797_R,0.045,0.112
UCSB_IZC00063883_R,0.047,0.091
UCSB_IZC00063942_R,0.047,0.093
UCSB_IZC00063913_R,0.038,0.095
UCSB_IZC00062593_R,0.044,0.088
UCSB_IZC00065358_R,0.041,0.165
UCSB_IZC00058691_R,0.045,0.114
UCSB_IZC00062594_R,0.037,0.121
UCSB_IZC00065434_R,0.045,0.113
UCSB_IZC00055766_R,0.096,0.351
UCSB_IZC00055768_R,0.086,0.274
UCSB_IZC00055275_R,0.079,0.285
UCSB_IZC00065444_R,0.072,0.286
UCSB_IZC00055339_R,0.07,0.292
UCSB_IZC00055351_R,0.079,0.298
UCSB_IZC00055353_R,0.079,0.303
UCSB_IZC00055373_R,0.083,0.305
UCSB_IZC00055320_R,0.075,0.314
UCSB_IZC00065342_R,0.103,0.316
UCSB_IZC00055789_R,0.091,0.32
UCSB_IZC00065344_R,0.086,0.323
UCSB_IZC00055297_R,0.074,0.295
UCSB_IZC00055326_R,0.099,0.307
UCSB_IZC00055783_R,0.092,0.308
UCSB_IZC00065450_R,0.079,0.316
UCSB_IZC00055363_R,0.093,0.318
UCSB_IZC00055294_R,0.075,0.323
UCSB_IZC00065447_R,0.082,0.332
UCSB_IZC00058746_R,0.079,0.335
UCSB_IZC00055285_R,0.099,0.346
UCSB_IZC00055337_R,0.113,0.352
UCSB_IZC00065353_R,0.105,0.353
UCSB_IZC00065357_R,0.095,0.367
UCSB_IZC00065404_R,0.045,0.117
UCSB_IZC00055336_R,0.046,0.129
UCSB_IZC00058764_R,0.044,0.104
UCSB_IZC00065414_R,0.068,0.173
UCSB_IZC00055744_R,0.068,0.179
UCSB_IZC00065408_R,0.067,0.179
UCSB_IZC00059183_R,0.046,0.112
UCSB_IZC00063853_R,0.045,0.083
UCSB_IZC00058784_R,0.043,0.082
UCSB_IZC00059212_R,0.044,0.086
UCSB_IZC00058770_R,0.043,0.077
UCSB_IZC00059180_R,0.043,0.082
UCSB_IZC00055461_R,0.048,0.108
UCSB_IZC00055772_R,0.049,0.116
UCSB_IZC00055449_R,0.049,0.121
UCSB_IZC00058724_R,0.049,0.121
UCSB_IZC00059182_R,0.049,0.128
UCSB_IZC00055362_R,0.049,0.133
UCSB_IZC00065437_R,0.05,0.139
UCSB_IZC00062610_R,0.05,0.11
UCSB_IZC00055327_R,0.051,0.11
UCSB_IZC00062613_R,0.051,0.111
UCSB_IZC00055800_R,0.05,0.118
UCSB_IZC00055271_R,0.051,0.123
UCSB_IZC00055307_R,0.05,0.123
UCSB_IZC00065419_R,0.051,0.125
UCSB_IZC00065393_R,0.05,0.129
UCSB_IZC00055750_R,0.049,0.13
UCSB_IZC00062598_R,0.05,0.132
UCSB_IZC00062616_R,0.052,0.137
UCSB_IZC00065457_R,0.053,0.145
UCSB_IZC00062615_R,0.051,0.153
UCSB_IZC00055798_R,0.077,0.297
UCSB_IZC00065368_R,0.093,0.364
UCSB_IZC00058769_R,0.048,0.133
UCSB_IZC00055269_R,0.048,0.136
UCSB_IZC00055752_R,0.047,0.139
UCSB_IZC00058792_R,0.048,0.149
UCSB_IZC00058794_R,0.046,0.124
UCSB_IZC00065378_R,0.064,0.16
UCSB_IZC00065367_R,0.066,0.169
UCSB_IZC00065349_R,0.066,0.178
UCSB_IZC00058151_R,0.05,0.146
UCSB_IZC00056411_R,0.042,0.154
UCSB_IZC00055317_R,0.047,0.11
UCSB_IZC00058783_R,0.033,0.09
UCSB_IZC00062630_R,0.035,0.09
UCSB_IZC00058728_R,0.035,0.096
UCSB_IZC00058736_R,0.047,0.112
UCSB_IZC00055787_R,0.05,0.122
UCSB_IZC00062612_R,0.048,0.13
UCSB_IZC00062587_R,0.048,0.131
UCSB_IZC00065417_R,0.079,0.292
UCSB_IZC00058743_R,0.048,0.155
UCSB_IZC00065440_R,0.046,0.123
UCSB_IZC00055343_R,0.099,0.355
UCSB_IZC00058384_R,0.051,0.148
UCSB_IZC00058834_R,0.053,0.159
UCSB_IZC00058143_R,0.051,0.166
UCSB_IZC00058414_R,0.048,0.081
UCSB_IZC00063938_R,0.045,0.082
UCSB_IZC00058562_R,0.048,0.089
UCSB_IZC00058424_R,0.05,0.091
UCSB_IZC00059170_R,0.042,0.086
UCSB_IZC00063955_R,0.05,0.108
UCSB_IZC00059189_R,0.049,0.115
UCSB_IZC00059169_R,0.045,0.105
UCSB_IZC00059220_R,0.045,0.11
UCSB_IZC00059202_R,0.046,0.114
UCSB_IZC00058669_R,0.046,0.092
UCSB_IZC00065377_R,0.063,0.157
UCSB_IZC00055754_R,0.065,0.157
UCSB_IZC00055778_R,0.067,0.175
UCSB_IZC00058184_R,0.051,0.164
UCSB_IZC00058336_R,0.051,0.168
UCSB_IZC00058713_R,0.048,0.091
UCSB_IZC00063956_R,0.053,0.106
UCSB_IZC00063939_R,0.05,0.102
UCSB_IZC00059200_R,0.045,0.112
UCSB_IZC00058391_R,0.022,0.09
UCSB_IZC00063960_R,0.048,0.091
UCSB_IZC00059186_R,0.044,0.087
UCSB_IZC00065373_R,0.043,0.093
UCSB_IZC00059217_R,0.047,0.113
UCSB_IZC00065410_R,0.045,0.125
UCSB_IZC00065370_R,0.045,0.128
UCSB_IZC00058161_R,0.051,0.135
UCSB_IZC00056496_R,0.051,0.152
UCSB_IZC00061362_R,0.052,0.156
UCSB_IZC00063934_R,0.043,0.108
UCSB_IZC00059213_R,0.045,0.1
UCSB_IZC00062597_R,0.045,0.105
UCSB_IZC00058732_R,0.045,0.106
UCSB_IZC00058765_R,0.045,0.107
UCSB_IZC00062608_R,0.043,0.107
UCSB_IZC00055305_R,0.046,0.108
UCSB_IZC00065382_R,0.045,0.112
UCSB_IZC00059176_R,0.045,0.118
UCSB_IZC00058733_R,0.045,0.115
UCSB_IZC00058711_R,0.049,0.117
UCSB_IZC00062604_R,0.047,0.12
UCSB_IZC00055318_R,0.049,0.123
UCSB_IZC00065431_R,0.048,0.131
UCSB_IZC00065422_R,0.05,0.135
UCSB_IZC00055315_R,0.051,0.138
UCSB_IZC00055298_R,0.063,0.139
UCSB_IZC00055762_R,0.066,0.172
UCSB_IZC00055761_R,0.066,0.176
UCSB_IZC00055282_R,0.065,0.179
UCSB_IZC00055277_R,0.07,0.194
UCSB_IZC00058665_R,0.053,0.169
UCSB_IZC00055286_R,0.046,0.107
UCSB_IZC00055767_R,0.047,0.095
UCSB_IZC00062602_R,0.045,0.096
UCSB_IZC00059171_R,0.046,0.101
UCSB_IZC00059178_R,0.045,0.101
UCSB_IZC00058742_R,0.046,0.103
UCSB_IZC00062620_R,0.031,0.105
UCSB_IZC00058750_R,0.045,0.108
UCSB_IZC00058789_R,0.045,0.11
UCSB_IZC00058696_R,0.046,0.111
UCSB_IZC00059181_R,0.045,0.112
UCSB_IZC00062607_R,0.047,0.117
UCSB_IZC00063935_R,0.048,0.079
UCSB_IZC00065012_R,0.044,0.083
UCSB_IZC00063910_R,0.047,0.087
UCSB_IZC00063931_R,0.049,
UCSB_IZC00058684_R,0.042,0.088
UCSB_IZC00058782_R,0.05,0.122
UCSB_IZC00065366_R,0.093,0.325
UCSB_IZC00058762_R,0.047,0.116
UCSB_IZC00058709_R,0.047,0.127
UCSB_IZC00058734_R,0.048,0.122
UCSB_IZC00058790_R,0.046,0.122
UCSB_IZC00058725_R,0.046,0.116
UCSB_IZC00058481_R,0.051,0.144
UCSB_IZC00058195_R,0.051,0.144
UCSB_IZC00058173_R,0.051,0.149
UCSB_IZC00058454_R,0.051,0.155
UCSB_IZC00063917_R,0.05,0.101
UCSB_IZC00063940_R,0.051,0.108
UCSB_IZC00059206_R,0.046,0.097
UCSB_IZC00058606_R,0.048,0.081
UCSB_IZC00063949_R,0.047,0.086
UCSB_IZC00055850_R,0.047,0.092
UCSB_IZC00055334_R,0.077,0.347
UCSB_IZC00058704_R,0.045,0.103
UCSB_IZC00055301_R,0.069,0.292
UCSB_IZC00062632_R,0.072,0.307
UCSB_IZC00055375_R,0.076,0.314
UCSB_IZC00065343_R,0.095,0.329
UCSB_IZC00065392_R,0.104,0.367
UCSB_IZC00058781_R,0.084,0.281
UCSB_IZC00055370_R,0.088,0.286
UCSB_IZC00065459_R,0.083,0.288
UCSB_IZC00055352_R,0.087,0.302
UCSB_IZC00055795_R,0.091,0.315
UCSB_IZC00055278_R,0.061,0.262
UCSB_IZC00055764_R,0.085,0.296
UCSB_IZC00058745_R,0.124,0.371
UCSB_IZC00058793_R,0.078,0.284
UCSB_IZC00055377_R,0.101,0.304
UCSB_IZC00065386_R,0.091,0.319
UCSB_IZC00055266_R,0.098,0.308
UCSB_IZC00058697_R,0.048,0.123
UCSB_IZC00062589_R,0.043,0.087
UCSB_IZC00065348_R,0.065,0.162
UCSB_IZC00059168_R,0.043,0.088
UCSB_IZC00058785_R,0.043,0.088
UCSB_IZC00062591_R,0.043,0.091
UCSB_IZC00055782_R,0.061,0.241
UCSB_IZC00065400_R,0.051,0.122
UCSB_IZC00058768_R,0.048,0.122
UCSB_IZC00055316_R,0.052,0.11
UCSB_IZC00058791_R,0.05,0.131
UCSB_IZC00058749_R,0.046,0.146
UCSB_IZC00055358_R,0.042,0.148
UCSB_IZC00062637_R,0.069,0.153
UCSB_IZC00055380_R,0.068,0.173
UCSB_IZC00055321_R,0.075,0.165
UCSB_IZC00058278_R,0.046,0.153
UCSB_IZC00059219_R,0.048,0.113
UCSB_IZC00059175_R,0.041,0.092
UCSB_IZC00059208_R,0.049,0.102
UCSB_IZC00065401_R,0.039,0.106
UCSB_IZC00058707_R,0.037,0.107
UCSB_IZC00065446_R,0.035,0.111
UCSB_IZC00058730_R,0.038,0.113
UCSB_IZC00063841_R,0.027,0.078
UCSB_IZC00058157_R,0.047,0.081
UCSB_IZC00058415_R,0.048,0.083
UCSB_IZC00058487_R,0.047,0.084
UCSB_IZC00063902_R,0.048,0.091
UCSB_IZC00063927_R,0.04,0.097
UCSB_IZC00065361_R,0.052,0.221
UCSB_IZC00055341_R,0.06,0.225
UCSB_IZC00055310_R,0.067,0.267
UCSB_IZC00055371_R,0.072,0.285
UCSB_IZC00065380_R,0.074,0.308
UCSB_IZC00065397_R,0.081,0.31
UCSB_IZC00055788_R,0.077,0.336
UCSB_IZC00065396_R,0.072,0.264
UCSB_IZC00058744_R,0.06,0.279
UCSB_IZC00055280_R,0.072,0.291
UCSB_IZC00055332_R,0.069,0.293
UCSB_IZC00058799_R,0.074,0.309
UCSB_IZC00058683_R,0.046,0.117
UCSB_IZC00055483_R,0.049,0.115
UCSB_IZC00055417_R,0.048,0.122
UCSB_IZC00055441_R,0.048,0.122
UCSB_IZC00055401_R,0.049,0.125
UCSB_IZC00055465_R,0.049,0.129
UCSB_IZC00055412_R,0.049,0.141
UCSB_IZC00058324_R,0.038,0.087
UCSB_IZC00055421_R,0.048,0.121
UCSB_IZC00055415_R,0.048,0.128
UCSB_IZC00055391_R,0.048,0.131
UCSB_IZC00055797_R,0.067,0.29
UCSB_IZC00065356_R,0.05,0.125
UCSB_IZC00055350_R,0.051,0.128
UCSB_IZC00058718_R,0.045,0.118
UCSB_IZC00059201_R,0.047,0.123
UCSB_IZC00065421_R,0.049,0.135
UCSB_IZC00065399_R,0.055,0.156
UCSB_IZC00058617_R,0.049,0.155
UCSB_IZC00058156_R,0.052,0.16
UCSB_IZC00065006_R,0.045,0.083
UCSB_IZC00055263_R,0.047,0.13
UCSB_IZC00055771_R,0.062,0.142
UCSB_IZC00055274_R,0.064,0.152
UCSB_IZC00055784_R,0.067,0.16
UCSB_IZC00055755_R,0.061,0.161
UCSB_IZC00055777_R,0.069,0.168
UCSB_IZC00055325_R,0.064,0.17
UCSB_IZC00055361_R,0.065,0.172
UCSB_IZC00055345_R,0.076,0.173
UCSB_IZC00065354_R,0.065,0.174
UCSB_IZC00055312_R,0.066,0.175
UCSB_IZC00055756_R,0.065,0.182
UCSB_IZC00058573_R,0.053,0.16
UCSB_IZC00058787_R,0.049,0.103
UCSB_IZC00063929_R,0.05,0.107
UCSB_IZC00055786_R,0.047,0.099
UCSB_IZC00063842_R,0.049,0.079
UCSB_IZC00063845_R,0.048,0.08
UCSB_IZC00063843_R,0.047,0.083
UCSB_IZC00055814_R,0.047,0.084
UCSB_IZC00063944_R,0.048,0.086
UCSB_IZC00065040_R,0.049,0.088
UCSB_IZC00063892_R,0.045,0.088
UCSB_IZC00058380_R,0.046,0.089
UCSB_IZC00065412_R,0.048,0.089
UCSB_IZC00058729_R,0.043,0.096
UCSB_IZC00055746_R,0.05,0.132
UCSB_IZC00055794_R,0.085,0.29
UCSB_IZC00058763_R,0.084,0.31
UCSB_IZC00058805_R,0.05,0.131
UCSB_IZC00062638_R,0.05,0.109
UCSB_IZC00055335_R,0.051,0.113
UCSB_IZC00058700_R,0.052,0.117
UCSB_IZC00065398_R,0.051,0.119
UCSB_IZC00058755_R,0.049,0.121
UCSB_IZC00055281_R,0.05,0.123
UCSB_IZC00062618_R,0.051,0.123
UCSB_IZC00055346_R,0.052,0.124
UCSB_IZC00065388_R,0.05,0.125
UCSB_IZC00062603_R,0.051,0.128
UCSB_IZC00065413_R,0.05,0.129
UCSB_IZC00065454_R,0.051,0.129
UCSB_IZC00062634_R,0.049,0.129
UCSB_IZC00055328_R,0.051,0.129
UCSB_IZC00058775_R,0.051,0.13
UCSB_IZC00055781_R,0.051,0.13
UCSB_IZC00062586_R,0.048,0.134
UCSB_IZC00055799_R,0.05,0.134
UCSB_IZC00065387_R,0.051,0.135
UCSB_IZC00062605_R,0.05,0.135
UCSB_IZC00055368_R,0.05,0.135
UCSB_IZC00062626_R,0.05,0.137
UCSB_IZC00065381_R,0.052,0.138
UCSB_IZC00055306_R,0.052,0.143
UCSB_IZC00065448_R,0.049,0.12
UCSB_IZC00055790_R,0.066,0.169
UCSB_IZC00058194_R,0.049,0.121
UCSB_IZC00058611_R,0.051,0.145
UCSB_IZC00058284_R,0.051,0.152
UCSB_IZC00058290_R,0.052,0.158
UCSB_IZC00058522_R,0.052,0.161
UCSB_IZC00058637_R,0.053,0.163
UCSB_IZC00058185_R,0.051,0.166
UCSB_IZC00063954_R,0.049,0.1
UCSB_IZC00065346_R,0.039,0.11
UCSB_IZC00058760_R,0.046,0.103
UCSB_IZC00059188_R,0.047,0.111
UCSB_IZC00058690_R,0.047,0.112
UCSB_IZC00058779_R,0.044,0.094
UCSB_IZC00058796_R,0.042,0.095
UCSB_IZC00055355_R,0.049,0.139
UCSB_IZC00058757_R,0.066,0.28
UCSB_IZC00055785_R,0.046,0.122
UCSB_IZC00056445_R,0.05,0.149
UCSB_IZC00059172_R,0.049,0.112
UCSB_IZC00058348_R,0.046,0.083
UCSB_IZC00058439_R,0.047,0.091
UCSB_IZC00063875_R,0.047,0.092
UCSB_IZC00055941_R,0.047,0.093
UCSB_IZC00063866_R,0.049,0.094
UCSB_IZC00065449_R,0.042,0.087
UCSB_IZC00055384_R,0.049,0.117
UCSB_IZC00059215_R,0.047,0.118
UCSB_IZC00055366_R,0.079,0.29
UCSB_IZC00055287_R,0.091,0.287
UCSB_IZC00065341_R,0.093,0.326
UCSB_IZC00065359_R,0.117,0.358
UCSB_IZC00058780_R,0.05,0.15
UCSB_IZC00058694_R,0.044,0.111
UCSB_IZC00055264_R,0.046,0.12
UCSB_IZC00055747_R,0.071,0.186
UCSB_IZC00055342_R,0.046,0.111
UCSB_IZC00055354_R,0.046,0.134
UCSB_IZC00065429_R,0.039,0.123
UCSB_IZC00065365_R,0.05,0.124
UCSB_IZC00058181_R,0.051,0.152
UCSB_IZC00058182_R,0.053,0.166
UCSB_IZC00058751_R,0.046,0.105
UCSB_IZC00062633_R,0.047,0.119
UCSB_IZC00056210_R,0.044,0.097
UCSB_IZC00055381_R,0.043,0.119
UCSB_IZC00055272_R,0.051,0.128
UCSB_IZC00058682_R,0.05,0.129
UCSB_IZC00058705_R,0.05,0.13
UCSB_IZC00062635_R,0.05,0.131
UCSB_IZC00065442_R,0.051,0.132
UCSB_IZC00062622_R,0.05,0.134
UCSB_IZC00059207_R,0.05,0.14
UCSB_IZC00065371_R,0.043,0.148
UCSB_IZC00065405_R,0.05,0.148
UCSB_IZC00058735_R,0.035,0.115
UCSB_IZC00058192_R,0.039,0.114
UCSB_IZC00058624_R,0.04,0.122
UCSB_IZC00056420_R,0.05,0.13
UCSB_IZC00058186_R,0.051,0.133
UCSB_IZC00058177_R,0.049,0.129
UCSB_IZC00055348_R,0.048,0.12
UCSB_IZC00058701_R,0.48,0.121
UCSB_IZC00055268_R,0.048,0.12
UCSB_IZC00058714_R,0.049,0.125
UCSB_IZC00055432_R,0.047,0.121
UCSB_IZC00055431_R,0.049,0.125
UCSB_IZC00055396_R,0.049,0.128
UCSB_IZC00055411_R,0.049,0.13
UCSB_IZC00055385_R,0.048,0.131
UCSB_IZC00055395_R,0.049,0.136
UCSB_IZC00055402_R,0.05,0.143
UCSB_IZC00060230_R,0.047,0.093
UCSB_IZC00055404_R,0.048,0.125
UCSB_IZC00055374_R,0.078,0.285
